Actual Spread,Estimated Spread
9,13
205,152
20,15
5,37
192,114
15,43
175,130
9,7
42,1
358,204
51,50
12,1
200,130
103,69
13,5
109,81
129,111
123,78
20,13
2,3
123,111
10,15
106,71
90,95
16,20
51,15
18,49
87,59
190,120
8,11
12,5
17,19
9,30
120,81
101,74
126,73
346,186
129,88
374,205
16,5
302,172
362,198
56,83
22,51
266,162
211,156
26,28
129,93
48,33
46,26
6,11
4,5
21,15
103,88
138,95
289,164
20,7
358,198
12,34
218,125
309,186
5,7
12,5
31,30
72,59
218,136
4,5
40,57
272,162
200,126
5,15
13,1
25,39
6,5
22,15
110,88
14,24
8,33
4,36
81,78
228,159
7,13
2,22
144,125
68,5
3,13
312,197
55,46
52,57
2,13
4,11
2,3
270,156
102,78
46,50
122,59
30,33
113,41
14,9
197,111
212,145
66,57
202,119
16,7
44,52
104,83
305,186
393,233
2,7
48,55
5,22
13,9
31,9
6,7
32,24
86,64
128,116
54,53
356,194
23,22
2,3
95,95
38,44
13,9
39,39
20,15
21,24
5,9
11,5
83,9
33,41
10,28
3,7
64,46
212,125
4,22
11,30
212,139
209,117
12,1
6,1
392,224
156,137
7,7
14,11
177,114
9,15
143,93
7,13
9,26
5,22
19,7
32,9
14,24
3,38
12,32
296,151
50,33
2,17
18,5
39,1
84,69
10,3
203,112
18,30
2,3
7,1
57,35
453,238
462,228
39,7
2,11
11,26
45,44
421,231
40,28
4,1
8,53
93,76
370,224
2,32
5,5
47,32
31,5
238,166
12,11
70,30
15,41
20,18
4,26
5,32
19,24
5,36
141,120
6,24
4,15
126,128
16,3
18,15
2,9
84,62
234,154
207,143
30,37
26,46
375,202
36,7
2,7
10,9
30,15
117,96
6,13
8,7
5,28
96,55
181,117
177,125
23,9
48,30
7,7
155,120
14,55
10,7
199,125
242,159
14,48
8,32
48,46
176,166
10,37
5,5
16,58
110,93
20,1
15,5
18,13
193,137
2,28
20,24
69,39
153,104
335,191
23,48
210,112
11,1
75,71
189,117
103,81
242,139
133,126
5,13
2,30
4,28
465,232
303,155
50,48
114,98
12,22
364,194
20,13
12,16
131,95
7,51
32,3
313,179
76,53
288,182
4,15
9,34
182,104
8,17
69,62
9,19
463,242
22,28
32,15
16,33
40,59
227,148
17,9
174,130
352,181
13,24
2,13
22,32
9,3
275,172
13,39
20,15
5,35
244,145
7,24
24,15
4,9
89,66
6,18
50,26
10,7
93,76
98,59
2,9
2,13
8,35
310,146
4,19
7,5
15,3
2,9
53,43
66,76
82,85
48,22
8,5
472,234
121,74
16,17
36,1
23,41
107,86
69,73
26,15
4,5
364,194
24,13
490,248
117,96
13,9
83,103
106,98
9,3
140,88
30,5
124,119
2,26
6,5
66,22
25,20
7,13
10,18
20,13
88,78
2,24
2,28
202,139
3,19
4,43
52,33
11,9
2,18
175,98
45,35
21,18
38,48
24,52
24,9
2,5
5,9
29,57
165,122
237,131
9,5
41,44
29,30
17,33
11,9
107,90
7,15
70,88
8,11
6,18
10,51
112,96
228,151
8,11
15,18
50,37
2,41
115,66
28,5
5,33
2,13
2,24
8,26
7,3
127,98
6,9
464,220
65,33
12,7
41,61
14,36
6,18
16,11
4,3
285,165
461,224
46,71
20,24
2,1
4,1
39,39
97,71
9,38
13,13
28,41
22,11
2,11
270,159
131,81
37,30
9,20
11,9
20,24
2,19
20,22
45,35
2,19
11,20
22,15
180,133
4,24
57,22
144,117
151,85
39,50
240,156
32,18
8,7
2,1
20,5
327,187
48,28
10,16
14,11
104,112
25,37
212,137
15,30
124,104
390,214
6,30
354,185
35,44
132,64
18,15
62,30
8,1
4,11
16,20
2,5
134,73
105,68
34,9
10,18
35,22
67,50
32,20
4,18
4,49
20,35
195,136
2,1
413,241
4,1
12,1
20,13
20,17
8,32
8,32
4,3
82,30
147,109
2,11
24,7
145,64
101,81
12,22
4,32
13,22
31,22
8,3
9,3
13,19
8,15
100,52
176,151
27,62
174,151
4,36
6,24
59,53
14,13
123,103
9,22
17,11
96,50
11,15
21,5
12,32
22,11
488,249
55,3
3,1
14,16
193,136
67,37
10,36
26,30
148,103
23,44
126,86
24,30
407,218
4,24
73,74
20,11
268,143
42,20
111,86
19,18
8,1
30,37
22,13
70,101
2,5
20,16
18,9
22,22
54,16
390,226
2,11
9,9
2,7
8,19
4,16
18,3
73,78
6,33
20,7
2,3
6,16
130,106
9,22
2,11
19,9
12,11
337,187
13,68
78,66
14,22
37,22
2,5
4,41
36,20
82,50
10,11
56,5
6,5
17,30
13,22
15,9
13,1
5,7
20,11
92,66
4,32
16,26
169,90
36,59
14,13
4,18
7,7
55,33
14,41
3,9
154,85
10,5
232,152
6,7
157,86
79,35
6,39
2,13
2,24
223,152
3,1
20,7
21,3
5,15
332,186
8,9
14,28
15,11
164,123
54,13
303,179
12,11
17,24
283,178
20,13
2,32
7,33
20,15
4,5
81,68
4,9
144,130
6,13
4,22
4,50
115,71
22,46
30,20
21,15
197,158
3,16
16,9
37,30
8,1
122,81
2,3
5,20
172,130
108,98
24,15
3,15
419,233
10,13
256,164
2,26
45,41
4,41
2,24
4,13
112,81
4,3
14,20
256,171
87,83
10,20
5,13
4,1
110,119
255,151
116,95
432,224
33,59
4,32
2,45
20,24
45,55
22,19
4,7
8,11
27,11
10,11
177,112
15,3
34,15
376,205
6,38
20,55
8,41
23,32
179,114
25,13
215,140
9,15
68,43
12,7
27,28
12,9
4,3
30,1
49,53
11,24
4,3
20,28
48,48
8,18
23,55
23,7
6,9
43,26
4,15
261,154
45,53
227,164
28,66
15,9
2,7
120,85
39,28
6,46
2,20
150,116
29,59
6,7
107,71
8,22
17,26
25,28
2,22
4,9
16,5
257,142
21,26
11,18
175,120
108,101
286,164
2,26
2,36
14,7
2,7
12,17
20,35
108,76
24,3
4,24
12,37
32,7
151,109
61,33
19,41
23,68
42,20
2,9
348,185
2,36
17,13
105,109
17,65
197,134
7,43
18,20
66,71
45,50
9,34
19,11
4,26
90,66
22,37
16,5
4,32
12,1
11,41
11,18
23,15
2,17
218,143
5,1
11,20
25,11
5,26
13,7
160,101
20,11
111,66
20,41
16,7
6,1
5,17
4,7
9,32
2,5
12,22
18,15
8,9
20,24
24,15
4,24
2,7
445,228
33,43
17,5
8,24
7,43
204,148
20,15
116,90
262,171
323,186
27,15
5,15
4,28
39,43
17,28
2,36
9,26
10,13
132,86
128,90
2,49
9,24
238,145
6,1
8,3
129,112
222,137
12,15
8,7
5,11
21,5
123,104
10,3
128,130
228,137
27,41
7,1
8,1
7,24
4,3
113,81
2,17
61,74
17,15
2,24
8,13
8,17
4,20
14,1
134,96
16,24
41,44
6,3
6,32
139,93
10,17
6,30
7,24
33,22
2,11
70,85
253,156
9,9
224,136
4,5
108,88
148,116
441,219
6,28
67,68
104,101
253,159
3,19
57,48
9,7
10,33
14,3
70,24
371,185
27,9
24,13
13,30
10,1
5,3
42,22
14,19
2,7
33,28
12,5
10,9
6,11
20,3
2,22
48,15
11,1
32,30
5,41
8,24
14,28
88,55
26,15
7,3
3,26
22,26
292,175
33,62
2,13
310,175
4,15
17,18
16,15
27,16
177,119
36,22
129,69
14,26
54,53
13,20
15,59
63,83
2,17
4,32
3,1
69,44
27,32
2,1
452,228
12,37
6,1
20,9
319,196
10,26
4,3
9,7
237,112
2,16
219,117
6,11
314,161
32,22
6,3
9,36
45,26
27,26
8,13
283,182
12,38
165,119
352,204
138,103
44,46
20,1
2,43
2,11
11,56
133,101
12,22
26,57
15,26
294,182
61,32
16,24
3,9
57,74
18,20
205,158
4,1
2,22
202,140
18,5
15,28
8,36
24,18
14,1
8,30
402,207
15,35
14,11
126,93
75,69
14,20
20,64
14,9
13,48
71,64
2,30
16,53
4,3
18,30
37,50
5,28
11,3
18,7
16,7
17,11
20,13
20,11
2,24
5,11
67,78
35,37
11,9
27,30
5,7
2,11
16,32
7,24
78,74
6,26
9,57
17,1
78,61
81,32
20,9
37,30
14,15
10,11
292,182
17,54
16,7
40,1
8,11
10,11
45,28
24,7
41,1
15,35
11,35
4,7
4,26
2,20
8,22
4,26
7,11
12,28
38,32
13,13
11,5
6,3
8,5
13,18
186,128
12,9
2,34
234,134
27,7
6,5
4,3
10,26
88,98
11,16
118,83
36,22
28,52
80,86
6,59
4,1
4,11
21,3
23,15
10,7
4,19
457,241
17,13
259,169
24,9
3,9
358,227
8,13
4,15
13,9
5,9
43,20
20,13
26,5
20,32
2,26
4,28
8,3
499,238
18,30
7,9
10,56
34,7
20,41
27,11
13,16
3,5
114,81
29,9
2,30
2,22
7,32
60,26
189,133
16,58
13,9
70,62
336,198
2,16
238,148
36,44
8,28
2,60
13,15
50,28
9,43
10,41
135,123
5,19
110,50
6,7
20,64
20,26
126,76
9,3
365,211
5,5
31,50
400,215
259,183
146,145
4,26
180,128
59,30
283,162
35,5
4,24
39,9
135,86
10,1
16,9
12,3
96,117
4,54
6,32
29,24
10,5
9,5
2,3
15,22
10,44
30,26
122,91
19,24
20,15
6,47
3,16
2,11
6,7
5,48
20,44
16,9
7,57
98,83
4,13
58,9
16,43
110,93
370,191
19,5
14,15
21,3
192,128
19,32
8,17
4,11
356,209
9,28
163,106
2,7
3,13
354,187
8,11
7,19
